,type,score,title,seasons,image,link,generos,pais,tags,fecha,duracion,sinopsis,audio,subtítulos
21,SERIE,8.7,Endeavour,Serie completa,https://static.filmin.es/images/media/22035/12/card_0_3_550x310.jpg,https://www.filmin.es/serie/endeavour,Thriller,Reino Unido,"1 Satellite Awards, Series Británicas, Series de época, Detectives, Ambientadas en los años 60, Precuelas, Crimen y Delincuencia, Misterio, Murder Mistery, Series Thriller, Estreno exclusivo, Directoras de Fotografía Españolas, Grandes éxitos en subscripción en FilminCAT, Subtítulos en inglés",2022.0, Serie completa ," Uno de los grandes éxitos de crítica y público de la televisión británica, que sigue los pasos del detective Endeavour Morse en el Oxford de los años 60.

Ambientada en 1965, relata como Morse se une a la policía de Carshall-Newton. Desilusionado con el trabajo, empieza a escribir una carta de renuncia cuando es destinado a la comisaría de Cowley, en Oxford, para investigar la desaparición de una joven..","Español
Inglés","Español
Catalán"
22,SERIE,7.0,Alquila como puedas,3 Temporadas,https://static.filmin.es/images/media/30543/6/card_0_3_550x310.jpg,https://www.filmin.es/serie/alquila-como-puedas,Thriller,Reino Unido,"4 Premios BAFTA, Otros 2 premios o nominaciones, Comedia en Serie, Series Británicas, Comedia Británica, Vivienda, Londres, Relación Padre Hijo, Relación entre Hermanos, Choque cultural, Subtítulos en inglés",2018.0, 3 Temporadas ,"La comedia que le arrebató el premio a Mejor Comedia a ""Fleabag"" en los BAFTA. Un personaje absurdo, un trabajo complejo y el mercado inmobiliario de Londres en una serie divertidísima.

Stath es un agente inmobiliario grecochipriota que trabaja en una pequeña empresa familiar del norte de Londres. Vasos, su excéntrico padre y jefe, se muere de ganas de retirarse, y la línea sucesoria estaría clara de no ser por un pequeño detalle: en lo que respecta al alquiler de pisos, Stath es un auténtico inútil. A los mandos del guion y la interpretación principal está Jamie Demetriou, icónico gentilhombre que le sonreía con sus dientes de castor a Phoebe Waller-Bridge en ""Fleabag"" y sospechoso habitual en los circuitos británicos de comedia. Su hermana en pantalla y en la vida real, Natasia Demetriou (a quien veneramos por su papel de Nadja en ""What we do in the shadows""), acompañará moralmente al personaje en sus lamentables peripecias por ganarse la confianza de su padre.",Inglés,"Español
Catalán
Inglés"
23,SERIE,7.0,Las confesiones de Frannie Langton,Serie completa,https://static.filmin.es/images/media/44500/4/card_1_3_550x310.png,https://www.filmin.es/serie/las-confesiones-de-frannie-langton,"ComediaDrama, Romántica",Reino Unido,"Mini Series, Amor en Serie, Cine de Época, Drama de Época, Romance de época, Basado en una Novela, Series Británicas, Romance, Esclavitud, Londres, Racismo, Decimonónico, LGTBI+, Amor Prohibido, Cine Lésbico, Falso Culpable, Juicios, Subtítulos en inglés",2022.0, Serie completa ,"Un drama romántico basado en la premiada novela de Sara Collins que nos traslada a la deslumbrante opulencia del Londres georgiano. La historia sigue el viaje de Frannie desde una plantación de Jamaica hasta la gran mansión de Mayfair del célebre científico George Benham y su esposa, Madame Marguerite Benham.

Inglaterra, 1826. Frannie Langton, una mujer negra arrancada de sus raíces y vendida como esclava a los Benhams, un matrimonio londinense, se enfrenta a un juicio. ¿El crimen? El asesinato de estos. Ella no recuerda nada de esa noche, pero está convencida de que ella no ha sido la culpable. Porque ella estaba enamorada de la señora Benham.","Inglés (Original)
Español","Catalán
Español
Inglés"
24,SERIE,8.2,Mayflies,Serie completa,https://static.filmin.es/images/media/44501/7/card_2_3_550x310.jpg,https://www.filmin.es/serie/mayflies,Drama,Reino Unido,"Estreno exclusivo, Series Británicas, Mini Series, Melodrama, Amistad, Enfermedades y Discapacidades, Mar, Eutanasia, Muerte, Enfermedades terminales, Ambientadas en los años 80, Subtítulos en inglés",2022.0, Serie completa ,"Miniserie británica de dos episodios en la que dos jóvenes amigos de un pueblo escocés tienen que enfrontarse, 30 años después, al mayor de sus baches, un cáncer terminal, componiendo así una certera reflexión acerca de la muerte asistida. Una carta de amor a las amistades masculinas que viaja de los años 80 al presente.

Una amistad forjada entre James y Tully en un pequeño pueblo escocés en 1986. Un fin de semana se hacen la promesa de vivir la vida de otra manera. Pero entonces, 30 años después, a media vida de distancia, suena el teléfono. Tully tiene la peor de las noticias.","Inglés (Original)
Español","Español
Inglés
Catalán"
25,SERIE,8.0,Los crímenes de Essex,Serie completa,https://static.filmin.es/images/media/44502/4/card_0_3_550x310.jpg,https://www.filmin.es/serie/los-crimenes-de-essex,Drama,Reino Unido,"1 Royal Television Society, Estreno exclusivo, Series Británicas, Series Thriller, Basada en hechos reales, Cine Policíaco, Real Crime, Mini Series, Crimen y Delincuencia, Relaciones Familiares, Asesinato, Detectives, Subtítulos en inglés",2020.0, Serie completa ,"Stephen Graham, el genial protagonista de ""Hierve"", es la estrella de este true crime de inconfundible aroma inglés que sigue una serie de célebres asesinatos perpetrados en una granja de Essex durante los años 80.

Hace más de 30 años, tres generaciones de una misma familia fueron asesinadas en su granja de Essex. Las pruebas iniciales apuntaron a la hija de la familia, con antecedentes de inestabilidad mental, aunque un inspector se negó a aceptar la teoría e indagó más a fondo en la investigación. Su determinación sacó a la luz nuevas pruebas que hicieron sospechar del único miembro de la familia directa que quedaba vivo, el hijo,al que se sentenció a cadena perpetua. La dramatización de este crimen real se basa en una investigación exhaustiva, en entrevistas y en publicaciones que se centran en el misterio de lo que sucedió ese fatídico día.","Inglés (Original)
Español","Español
Inglés"
26,SERIE,8.2,selftape,Serie completa,https://static.filmin.es/images/media/42911/1/card_0_3_550x310.jpg,https://www.filmin.es/serie/selftape,Thriller,España,"1 Festival de Málaga, Otros 2 premios o nominaciones, Filmin Originals, Estreno exclusivo, Directoras, Series Españolas, Autoficción, Gente del cine, Metacine, Relaciones Familiares, Relación entre Hermanos, Barcelona, Veinteañeros, Machismo, Subtítulos en inglés",2023.0, Serie completa ,"Tercera serie original de Filmin, protagonizada por las hermanas Joana y Mireia Vilapuig, estrellas infantiles de la serie de éxito ""Pulseras Rojas"". Una serie de tintes autobiográficos sobre dos jóvenes actrices que conocieron la fama y el éxito siendo niñas y que ahora, años después, deben hacer frente a un presente incierto en un momento clave para sus vidas y su relación como hermanas.

Las hermanas Joana y Mireia son dos jóvenes actrices que conocieron el éxito, y todo lo que conlleva la fama, a muy temprana edad. Años después, Mireia vuelve a Barcelona después de triunfar como actriz en Oslo. El frío recibimiento de su hermana Joana no es el que se esperaba. Incapaces de comunicarse y arreglar las cosas, todo da un vuelco cuando le ofrecen a Mireia un papel que tenía que hacer Joana. A partir de este momento saldrán a la luz secretos, mentiras y traumas del pasado que obligarán a las dos hermanas a replantear muchos aspectos personales de sus vidas, como el trabajo, el amor, la amistad o su propia relación.",Varios (Original),"Español
Catalán
Inglés"
27,SERIE,8.9,Endeavour: El final,Serie completa,https://static.filmin.es/images/media/45192/5/card_0_3_550x310.jpg,https://www.filmin.es/serie/endeavour-el-final,"DramaThriller, Drama",Reino Unido,"Estreno exclusivo, Series Británicas, Series de época, Series Thriller, Detectives, Ambientadas en los años 60, Precuelas, Crimen y Delincuencia, Murder Mistery, Misterio, Subtítulos en inglés",2023.0, Serie completa ,"Una de las series emblema de Filmin llega a su final. Estrenamos en exclusiva la última temporada de las aventuras del detective Endeavour Morse, compuesta por tres trepidantes episodios que prometen más misterios, muchas sorpresas y alguna que otra lágrima. Hasta siempre, querido Morse.

Estamos en mayo de 1972, seis meses después de que Morse finalmente aceptara que necesitaba ayuda para controlar su problema con el alcohol. Tras su recuperación, regresa a Castle Gate renovado, sobrio, elegante y seguro de sí mismo. Pero su nueva actitud se verá puesta a prueba cuando se ofrezca acompañar a la Sra. Thursday a una boda, sólo para enterarse de que esta no es otra que la boda de Joan. En los últimos meses, Morse se había sumido en el alcoholismo de tal manera que no había detectado el romance que estaba surgiendo entre Joan y Jim Strange. Ahora, se enfrenta al reto de ser el padrino en la ceremonia donde él mismo alguna vez esperó alguna vez ser el novio.","Inglés (Original)
Español","Español
Inglés
Catalán"
28,SERIE,8.7,We are Lady Parts,1 Temporada,https://static.filmin.es/images/media/36948/3/card_1_3_550x310.jpg,https://www.filmin.es/serie/we-are-lady-parts,Comedia,Reino Unido,"3 Premios BAFTA, Otros 7 premios o nominaciones, Comedia en Serie, Comedia Británica, Directoras, Musulmán, Punk, Amigas Juveniles, Mujeres Guerreras, Veinteañeros, Londres, Amistad, Grandes éxitos en suscripción, Subtítulos en inglés, Series Británicas",2021.0, 1 Temporada ,"Una comedia provocadora y feminista donde un grupo de amigas musulmanas fundarán una banda de punk. Van sobradas de talento y actitud, pero les faltan algunos ingredientes para alcanzar el éxito: una guitarrista, un par de fans y un local para tocar que no sea la parte trasera de una carnicería halal. Dirigida y producida por Nida Manzoor (‘Doctor Who’, ‘Enterprice’), su primera serie nos permite augurar una carrera en ascenso.

Amina Hussain, 26 años. Ha terminado un doctorado en microbiología. Propensa a la sudoración excesiva, a tocar la guitarra en secreto y a buscar desesperadamente un buen chico musulmán al que poder aferrarse… ¡Pues no! Lo que quiere es unirse a una banda de post-punk musulmana, exclusivamente femenina, llamada Lady Parts.","Inglés (Original)
Español","Español
Catalán
Inglés"
29,SERIE,8.1,La gran fortuna,Serie completa,https://static.filmin.es/images/media/45582/4/card_0_3_550x310.jpg,https://www.filmin.es/serie/la-gran-fortuna,"ComediaDrama, Clásicos, Romántica",Reino Unido,"3 Premios BAFTA, Series clásicas BBC, Mini Series, Series Británicas, Clásico de TV, II Guerra Mundial, Amor en tiempos de Guerra, Nazismo",1987.0, Serie completa ,"Unos jóvenes Emma Thompson y Kenneth Branagh son los protagonistas de esta miniserie ambientada en la II Guerra Mundial basada en la Trilogía balcánica de Olivia Manning.

Guy Pringle y su nueva esposa, Harriet, son miembros de la comunidad inglesa en Bucarest, Rumania, en vísperas de la Segunda Guerra Mundial. La película nos muestra las crónicas del camino de los ingleses que huyen antes de que los ejércitos alemanes avancen hacia Atenas y después a El Cairo.",Inglés (Original),Español
30,SERIE,8.6,El Topo (la serie),Serie completa,https://static.filmin.es/images/media/45578/2/card_0_3_550x310.jpg,https://www.filmin.es/serie/el-topo-la-serie,"Thriller, Clásicos",Reino Unido,"5 Premios BAFTA, Otros 1 premios o nominaciones, Series clásicas BBC, Clásico de TV, Clásicos, Mini Series, Series Británicas, Espionaje, Espías Británicos, Basado en una Novela, Agentes Infiltrados, Guerra Fría, Novela de John Le Carré",1979.0, Serie completa ,"Presentamos la compilación ""Calderero, Sastre, Soldado, Espía"" y ""Los hombres de Smiley"" de la primera adaptación de una de las novelas más populares de John le Carré, con Sir Alec Guiness como el mítico George Smiley. Producida por BBC y dirigida por el cineasta John Irvin, todo un clásico de la historia de la televisión.

George Smiley, un funcionario de alto rango de los servicios de espionaje, caído en desgracia por una operación fallida, descubre de forma fortuita que los soviéticos tienen un topo infiltrado al mas alto nivel en la dirección del servicio de inteligencia británico.Aleccionado por el supervisor civil de los servicios de espionaje, lleva a cabo una investigación secreta dentro del departamento, para descubrir al infiltrado que tantas bajas está causando entre los agentes británicos.","Español
Inglés",Español
31,SERIE,8.4,Wakefield,1 Temporada,https://static.filmin.es/images/media/42793/4/card_0_3_550x310.jpg,https://www.filmin.es/serie/wakefield,"Thriller, Drama",Australia,"1 Australian Writers Guild, Otros 2 premios o nominaciones, Hospital, Salud Mental, Neurodiversidad, Enfermedades y Discapacidades, Medicina, Vida Rural, Directoras, Subtítulos en inglés",2021.0, 1 Temporada ,"Con un don para calmar a los más afligidos y llegar a los inalcanzables, el brillante enfermero psiquiátrico Nik Katira es la persona más estable de la unidad de salud mental de Wakefield, en las pintorescas Montañas Azules de Australia. Nik es excepcionalmente bueno en su trabajo, pero cuando su propia cabeza empieza a jugarle malas pasadas de forma inesperada, este empático enfermero se empezará a cuestionar a sí mismo y su propia salud mental.

Abordando la complejidad y problemática de las enfermedades mentales con humor y corazón, Wakefield explora la fina línea que separa la cordura y la locura, impulsada por un intrigante misterio psicológico. Este es un fascinante viaje a la mente de un hombre encargado de preocuparse por las mentes de los demás.","Inglés (Original)
Español","Catalán
Inglés
Español"
32,SERIE,8.3,Ocho horas no hacen un día,Serie completa,https://static.filmin.es/images/media/45250/5/card_0_3_550x310.jpg,https://www.filmin.es/serie/ocho-horas-no-hacen-un-dia,"Drama, Clásicos",Alemania,"1 Grimme Awards, AMFF 2023, Ciclo Rainer W. Fassbinder, Clásicos, Nuevo Cine Alemán, Mini Series, Cine Social, Melodrama, Relaciones Familiares, Mundo laboral, Existencialismo, Capitalismo, Romance, Subtítulos en inglés",1972.0, Serie completa ,"En esta miniserie de 5 capítulos, Rainer Werner Fassbinder nos pinta un fresco en clave melodramática de lo que era la realidad obrera de la Alemania dividida en los 70, aquella que empezaba a levantarse encima de las ruinas de la 2a Guerra Mundial. Y es que, aunque se tratase de una obra que comenzó como un mero encargo, con el tiempo ha eclosionado en una de las más brillantes y genuinas aportaciones del director alemán a la televisión.

La vida de Jochen, un joven trabajador de una fábrica de herramientas cambiará por completo cuando empiece una relación con Marion, una oficinista de la que se ha enamorado perdidamente. ",Alemán (Original),"Español
Inglés"
33,SERIE,7.9,Una y otra vez (Life After Life),Serie completa,https://static.filmin.es/images/media/42798/1/card_0_3_550x310.jpg,https://www.filmin.es/serie/una-y-otra-vez-life-after-life,"Drama, Romántica",Reino Unido,"1 Serielizados, Series Británicas, Mini Series, Melodrama, Amor y Fantasía, Muerte, Fantasía, I Guerra Mundial, II Guerra Mundial, Drama Psicológico, Mujeres Guionistas, Basado en una Novela, Subtítulos en inglés",2022.0, Serie completa ,"La dramaturga tras ""Boardwalk Empire"", Bash Doran, es la responsable de esta brillante miniserie de cuatro episodios que adapta la novela de Kate Atkinson. Sigue la vida de Ursula Todd, una mujer de la primera mitad del siglo XX que experimenta un ciclo interminable de nacimiento, muerte y renacimiento. Cuenta en su reparto con nombres como la veterana Lesley Manville y la joven estrella emergente Thomasin McKenzie (""Jojo Rabbit"", ""Última noche en el Soho"").

Ubicada entre los años 1910 y 1945, la protagonista sufre en sus propias carnes todas las tragedias históricas de esos tumultuosos años, que combinadas con las personales, nos hacen desear que nuestra protagonista y heroína tenga más suerte en sus siguientes nuevas vidas.","Inglés (Original)
Español","Español
Catalán
Inglés"
34,SERIE,7.5,Marriage,Serie completa,https://static.filmin.es/images/media/43576/7/card_0_3_550x310.jpg,https://www.filmin.es/serie/marriage,Drama,Reino Unido,"1 Zoom Igualada, Series Británicas, Mini Series, Relaciones Familiares, Matrimonio, Crisis de Pareja, Subtítulos en inglés",2022.0, Serie completa ,"Marriage, sigue a la pareja casada, Ian (Sean Bean) y Emma (Nicola Walker) mientras negocian los altibajos de su matrimonio de 30 años. Los vemos lidiando con las inseguridades, las ambigüedades, las esperanzas y los miedos que son parte de todos los matrimonios, mientras el drama explora los riesgos y los regalos de una relación íntima a largo plazo. A veces divertido, a veces conmovedor, siempre revelador.","Inglés (Original)
Español","Español
Catalán
Inglés"
35,SERIE,8.6,Upright,Serie completa,https://static.filmin.es/images/media/38429/5/card_0_3_550x310.jpg,https://www.filmin.es/serie/upright,"DramaComedia, Drama",Australia,"1 Australian Academy of Cinema and Television Arts Awards, Mini Series, Comedia en Serie, Comedia dramática, Road Movie, Retrato de un perdedor, Duelo/Luto, Película con Música, Momento Musical, Humor Negro, Amistad entre joven y adulto",2022.0, Serie completa ,"Milly Alcock, una de las intérpretes más destacas de ""La casa del dragón"", coprotagoniza esta emotiva y divertida serie australiana en la que dos inadaptados se embarcan en un viaje lleno de atropellos que les llevará por toda Australia. Una dramedia en serie que es toda una revelación.

Lucky Flynn es un músico marginado que cuando se entera de que su madre se está muriendo, decide conducir hasta el otro extremo de Australia para verla, dejándolo todo excepto un piano vertical que le acompaña en su viaje. Pero sus planes se trastocan cuando conoce Meg, una adolescente que huye para alejarse de algunos demonios familiares. Juntos forjan una extraña amistad, mientras se embarcan en una aventura de viaje por carretera a través de las llanuras de Nullarbor en una carrera contrarreloj. En el camino se encuentran con camellos salvajes, un lago rosado mágico, ladrones de carretera, fiestas en los acantilados, un anillo de lucha del inframundo, policías sospechosos y la banda de moteros más apreciada, musicalmente, del mundo. Durante ocho días calurosos, Lucky y Meg conducen bajo un sol abrasador por el desierto australiano, sin dejar nunca de vista el piano.","Inglés (Original)
Español",Español
36,SERIE,8.3,Home Ground,2 Temporadas,https://static.filmin.es/images/media/26165/7/card_0_3_550x310.jpg,https://www.filmin.es/serie/home-ground,Drama,Noruega,"1 Festival de Berlín, Otros 8 premios o nominaciones, Estreno exclusivo, Deportes, Fútbol, Feminismo, Mundo laboral, Mujer Trabajadora, Series nórdicas, Noviembre Nórdico",2019.0, 2 Temporadas ,"Uno de los mayores fenómenos de la ficción televisiva reciente. Su historia: la de una mujer que se hace cargo de un equipo masculino de fútbol de la primera división.


Una mujer se hace cargo de un equipo masculino de fútbol de la primera división noruega en esta aclamada serie que hará que ames el fútbol aunque hoy no te interese, protagonizada por Ane Dahl Torp y el exjugador del Valencia John Carew.","Español
Noruego","Español
Catalán"
